POS;FW;RV;;
1;3;98;1484;0
69;94;92;0;0
135;106;101;0;0
200;116;93;0;0
273;123;96;0;0
341;145;92;0;0
418;150;93;0;0
484;162;89;0;0
553;169;10;0;0
626;176;106;0;0
702;186;104;0;0
778;199;109;0;0
861;205;121;0;0
925;221;123;0;0
1003;217;124;0;0
1072;230;136;0;0
1155;237;139;0;0
1227;252;143;0;0
1290;255;148;0;0
1375;264;155;0;0
1453;275;163;0;0
1520;277;172;0;0
1589;279;177;0;0
1673;280;178;0;0
1745;290;194;0;0
1818;297;202;0;0
1907;308;198;0;0
1983;306;218;0;0
2055;317;222;0;0
2133;315;238;0;0
2213;340;222;0;0
2278;339;248;0;0
2343;338;245;0;0
2410;349;261;0;0
2478;358;265;0;0
2547;360;273;0;0
2616;352;292;0;0
2686;378;293;0;0
2757;382;303;0;0
2841;386;285;0;0
2931;410;332;0;0
3006;405;375;0;0
3081;380;375;0;0
3157;389;337;0;0
3234;378;369;0;0
3311;479;374;0;0
3407;388;453;0;0
3486;415;418;0;0
3565;424;420;0;0
3646;434;438;0;0
3727;398;468;0;0
3841;416;537;0;0
3923;424;548;0;0
4006;381;534;0;0
4089;385;564;0;0
4172;382;527;0;0
4235;409;519;0;0
4298;374;609;0;0
4361;420;581;0;0
4424;431;525;0;0
4509;434;616;0;0
4572;390;576;0;0
4636;403;532;0;0
4699;393;542;0;0
4763;428;534;0;0
4827;394;525;0;0
4904;396;556;0;0
4967;408;519;0;0
5052;364;543;0;0
5116;367;603;0;0
5179;377;591;0;0
5244;413;544;0;0
5307;404;630;0;0
5392;395;556;0;0
5457;370;561;0;0
5562;373;583;0;0
5627;386;528;0;0
5690;379;576;0;0
5755;398;564;0;0
5819;386;528;0;0
5883;388;551;0;0
5960;400;541;0;0
6024;365;546;0;0
6110;379;535;0;0
6174;368;568;0;0
6238;398;576;0;0
6303;395;583;0;0
6366;377;545;0;0
6452;386;578;0;0
6517;402;569;0;0
6580;388;537;0;0
6645;385;546;0;0
6708;355;574;0;0
6794;387;540;0;0
6858;347;549;0;0
6922;343;586;0;0
6999;368;561;0;0
7063;341;531;0;0
7127;373;573;0;0
7191;420;577;0;0
7255;361;541;0;0
7341;385;586;0;0
7405;419;559;0;0
7469;359;519;0;0
7533;377;590;0;0
7597;410;565;0;0
7683;330;529;0;0
7747;362;618;0;0
7811;375;589;0;0
7875;353;569;0;0
7940;376;597;0;0
8004;384;602;0;0
8081;379;525;0;0
8145;352;507;0;0
8231;377;537;0;0
8295;369;553;0;0
8359;405;574;0;0
8423;382;625;0;0
8487;393;554;0;0
8573;400;588;0;0
8637;379;589;0;0
8701;353;526;0;0
8765;353;527;0;0
8829;354;560;0;0
8915;392;539;0;0
8979;328;548;0;0
9043;356;613;0;0
9120;383;589;0;0
9184;353;557;0;0
9248;379;624;0;0
9312;412;594;0;0
9376;346;526;0;0
9461;424;573;0;0
9525;403;550;0;0
9589;352;496;0;0
9653;397;559;0;0
9718;400;567;0;0
9803;322;530;0;0
9867;384;613;0;0
9931;340;605;0;0
9995;357;550;0;0
10059;418;633;0;0
10123;386;581;0;0
10201;348;576;0;0
10264;404;586;0;0
10350;387;563;0;0
10415;341;581;0;0
10478;375;601;0;0
10543;404;584;0;0
10606;364;551;0;0
10692;397;613;0;0
10757;362;606;0;0
10820;346;604;0;0
10885;374;578;0;0
10949;381;596;0;0
11035;348;568;0;0
11099;383;610;0;0
11163;383;543;0;0
11240;352;578;0;0
11305;355;577;0;0
11368;404;605;0;0
11434;350;620;0;0
11497;393;564;0;0
11582;399;561;0;0
11647;386;636;0;0
11711;417;678;0;0
11775;407;570;0;0
11839;368;608;0;0
11925;375;587;0;0
11989;356;659;0;0
12091;362;564;0;0
12155;355;590;0;0
12219;334;618;0;0
12296;317;620;0;0
12400;300;668;0;0
12464;302;627;0;0
12567;302;599;0;0
12649;284;600;0;0
12730;241;622;0;0
12811;263;576;0;0
12890;247;572;0;0
12967;275;600;0;0
13044;227;567;0;0
13119;233;557;0;0
13194;243;534;0;0
13279;212;552;0;0
13368;196;528;0;0
13439;212;520;0;0
13509;182;530;0;0
13577;183;508;0;0
13644;186;499;0;0
13711;179;500;0;0
13775;190;481;0;0
13839;168;469;0;0
13917;170;452;0;0
13993;169;451;0;0
14091;152;438;0;0
14163;155;428;0;0
14247;152;422;0;0
14315;146;410;0;0
14382;145;411;0;0
14459;144;390;0;0
14522;137;382;0;0
14595;132;376;0;0
14679;125;367;0;0
14743;118;338;0;0
14821;119;343;0;0
14885;115;324;0;0
14958;105;317;0;0
15038;100;293;0;0
15115;105;274;0;0
15188;98;273;0;0
15255;94;268;0;0
15323;87;240;0;0
15388;78;226;0;0
15451;85;213;0;0
15525;75;202;0;0
15588;71;188;0;0
15652;76;169;0;0
15716;68;161;0;0
15781;69;143;0;0
15854;59;115;0;0
15919;55;105;0;0
